Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,ToInst,ToPin,ConfigName,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_HSTL_I,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_HSTL_I_18,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_18,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_HSUL_12,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSUL_12,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL12,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL12,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL135,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL135,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL135_II,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL135_II,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL15,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL15,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL15_II,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL15_II,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL18_I,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL18_I,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_DIFF_SSTL18_II,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_SSTL18_II,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_LVDS_25,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_LVDS_25,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_SUB_LVDS,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_SUB_LVDS,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_SLVS_400_25,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_SLVS_400_25,
HDIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUFDS,clkin48,IBUFDS_IOSTANDARD_LVPECL,my_ibuf47/DIFFINBUF_INST,DIFF_IN,fd48,D,HDIOBDIFFINBUF_DIFFINBUF_ISTANDARD_LVPECL,

