Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,ToInst,ToPin,ConfigName,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_HSTL_I,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_HSTL_I,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_HSTL_I_18,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_HSTL_I_18,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_HSUL_12,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_HSUL_12,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVCMOS12,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVCMOS12,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVCMOS15,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVCMOS15,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVCMOS18,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVCMOS18,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVCMOS25,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVCMOS25,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVCMOS33,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVCMOS33,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_LVTTL,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_LVTTL,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL12,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL12,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL135,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL135,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL135_II,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL135_II,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL15,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL15,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL15_II,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL15_II,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL18_I,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL18_I,
HDIOB_INBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/IBUF,clkin48,IBUF_SLAVE_IOSTANDARD_SSTL18_II,my_ibuf47/INBUF_INST,PAD,fd48,D,HDIOB_INBUF_S_ISTANDARD_SSTL18_II,
