Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,TriInst,TriPin,ToInst,ToPin,ConfigName,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSTL_I_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSTL_I_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_18_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSTL_I_18_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_18_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSTL_I_18_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSUL_12_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_HSUL_12_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL12_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL12_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL135_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL135_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_II_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL135_II_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_II_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL135_II_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL15_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL15_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL15_SLEW_SLOW,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL15_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,clkin48,OBUFTDS_IOSTANDARD_DIFF_SSTL15_II_SLEW_FAST,fd47,Q,fdt48,T,my_obuf47/P,O,HDIOB_OUTBUF_M_OSTANDARD_DIFF_SSTL15_II_DRIVE_UNUSED_SLEW_FAST,
