Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,ToInst,ToBInst,ToPin,ConfigName,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I_12,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_12,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I_18,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_18,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I_DCI,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_DCI,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I_DCI_12,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_DCI_12,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSTL_I_DCI_18,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSTL_I_DCI_18,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSUL_12,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSUL_12,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_HSUL_12_DCI,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_HSUL_12_DCI,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_POD10,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_POD10,
HPIOBDIFFINBUF_DIFFINBUF,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUFDS_DIFF_OUT,clkin65,IBUFDS_IOSTANDARD_DIFF_POD10_DCI,my_ibuf64/DIFFINBUF_INST,DIFF_IN,fd65,fdb65,D,HPIOBDIFFINBUF_DIFFINBUF_ISTANDARD_DIFF_POD10_DCI,
