Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,ToInst,ToPin,ConfigName,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSLVDCI_15,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSLVDCI_15,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSLVDCI_18,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSLVDCI_18,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I_12,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I_12,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I_18,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I_18,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I_DCI,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I_DCI,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I_DCI_12,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I_DCI_12,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSTL_I_DCI_18,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSTL_I_DCI_18,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSUL_12,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSUL_12,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_HSUL_12_DCI,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_HSUL_12_DCI,
HPIOB_INBUF_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF,clkin65,IBUF_MASTER_IOSTANDARD_LVCMOS12,my_ibuf64/INBUF_INST,PAD,fd65,D,HPIOB_INBUF_M_ISTANDARD_LVCMOS12,
