IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPIN,IOSTANDARD,DRIVE,SLEW,DESIGN,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,4,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,4,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_4_SLEW_SLOW,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,8,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,8,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_8_SLEW_SLOW,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,12,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_12_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS12,12,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS12_DRIVE_12_SLEW_SLOW,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,4,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,4,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_4_SLEW_SLOW,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,8,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_8_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,8,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_8_SLEW_SLOW,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,12,FAST,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_12_SLEW_FAST,
48,48,48,47,IO_L8P_HDGC_AD4P_48,IO_L9P_AD3P_48,IO_L7P_HDGC_AD5P_48,IO_L1P_AD11P_47,LVCMOS15,12,SLOW,OBUFT_MASTER_IOSTANDARD_LVCMOS15_DRIVE_12_SLEW_SLOW,
