IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPINP,OUTPINN,IOSTANDARD,SLEW,OUTPUT_IMPEDANCE,DESIGN,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_12,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_12,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_12,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI_12,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
